,gender_true,age_true,race_true,gender_pred,files
0,0,85,2,1,85_0_2_20170111210729606.jpg.chip
1,1,31,0,1,31_1_0_20170103183812243.jpg.chip
2,0,63,3,1,63_0_3_20170119211951488.jpg.chip
3,0,40,3,1,40_0_3_20170119204114783.jpg.chip
4,1,24,2,1,24_1_2_20170116163720881.jpg.chip
5,1,1,2,1,1_1_2_20161219194735341.jpg.chip
6,1,18,0,1,18_1_0_20170103175516495.jpg.chip
7,0,31,4,1,31_0_4_20170116191344848.jpg.chip
8,1,22,1,1,22_1_1_20170114033252419.jpg.chip
9,1,35,0,1,35_1_0_20170103230424865.jpg.chip
10,1,62,0,1,62_1_0_20170104183415429.jpg.chip
11,0,29,0,1,29_0_0_20170117130607527.jpg.chip
12,1,22,2,1,22_1_2_20170116172137259.jpg.chip
13,0,12,2,1,12_0_2_20161219212833549.jpg.chip
14,0,39,1,1,39_0_1_20170113135644306.jpg.chip
15,0,35,0,1,35_0_0_20170116182645394.jpg.chip
16,1,36,0,1,36_1_0_20170117005907450.jpg.chip
17,1,43,0,1,43_1_0_20170119204611182.jpg.chip
18,1,26,1,1,26_1_1_20170116233613793.jpg.chip
19,0,50,1,1,50_0_1_20170116010809979.jpg.chip
20,1,26,0,1,26_1_0_20170116180117686.jpg.chip
21,1,26,3,1,26_1_3_20170119180550463.jpg.chip
22,0,85,0,1,85_0_0_20170117175305485.jpg.chip
23,1,26,0,1,26_1_0_20170116184549800.jpg.chip
24,0,19,2,1,19_0_2_20170110225634087.jpg.chip
25,0,26,1,1,26_0_1_20170117195934763.jpg.chip
26,0,28,2,1,28_0_2_20170116170649686.jpg.chip
27,1,36,1,1,36_1_1_20170113195419453.jpg.chip
28,1,26,2,1,26_1_2_20170116184512597.jpg.chip
29,0,35,0,1,35_0_0_20170117190009586.jpg.chip
30,1,12,1,1,12_1_1_20170109214204794.jpg.chip
31,1,27,2,1,27_1_2_20170116172712326.jpg.chip
32,1,35,1,1,35_1_1_20170112231632006.jpg.chip
33,0,36,0,1,36_0_0_20170105170234235.jpg.chip
34,0,25,1,1,25_0_1_20170116002531253.jpg.chip
35,1,50,0,1,50_1_0_20170120222640234.jpg.chip
36,1,25,0,1,25_1_0_20170117152149428.jpg.chip
37,1,24,2,1,24_1_2_20170116163052645.jpg.chip
38,0,40,3,1,40_0_3_20170117154542505.jpg.chip
39,1,26,3,1,26_1_3_20170117174603671.jpg.chip
40,0,1,3,1,1_0_3_20161219225648120.jpg.chip
41,0,32,0,1,32_0_0_20170117140140183.jpg.chip
42,1,29,0,1,29_1_0_20170112235530689.jpg.chip
