,age_true,age_pred,race_true,race_pred,gender_true,gender_pred
0,30,29,0,0,0,1
1,26,35,4,1,1,1
2,24,27,2,0,1,1
3,23,36,3,0,0,0
4,42,36,0,0,1,1
5,50,34,1,3,0,0
6,37,55,0,0,0,1
7,83,56,0,0,1,0
8,57,52,0,0,1,1
9,22,35,4,2,0,0
10,44,34,3,3,0,0
11,30,38,0,0,0,0
12,45,33,3,3,0,0
13,36,36,1,1,1,1
14,34,36,3,3,0,0
15,60,3,0,0,1,1
16,22,26,4,2,0,0
17,26,49,3,3,0,0
18,24,26,0,1,1,1
19,51,51,4,0,0,0
20,39,30,2,2,1,1
21,23,30,2,2,1,1
22,92,71,0,0,1,1
23,60,44,3,3,0,0
24,16,31,0,0,1,1
25,37,44,3,3,0,0
26,26,33,0,0,0,0
27,26,29,2,0,1,1
28,1,17,0,3,0,1
29,38,35,0,0,0,0
30,17,29,3,3,1,1
31,8,4,0,2,1,1
32,25,32,1,1,0,0
33,26,33,4,0,0,0
34,52,46,2,2,0,0
35,31,32,1,1,1,1
36,10,19,0,0,0,0
37,27,28,1,1,1,1
38,26,31,0,0,0,0
39,26,37,0,0,1,1
40,26,43,4,0,0,0
41,20,26,3,3,0,0
42,51,42,1,1,0,0
43,63,63,0,0,0,0
44,18,18,0,0,1,1
45,90,88,2,0,1,1
46,30,28,2,2,1,1
47,1,15,0,0,0,0
48,26,36,1,1,1,0
49,58,65,0,0,0,0
50,8,18,0,0,0,1
51,36,40,2,0,0,0
52,28,46,1,1,0,0
53,61,60,0,0,1,1
54,31,33,1,1,0,0
55,16,22,3,3,1,0
56,96,66,0,0,1,1
57,42,33,1,1,0,0
58,24,40,0,0,1,1
59,25,45,0,0,1,1
60,24,23,2,2,0,0
61,50,18,1,1,0,0
62,6,2,0,0,1,1
63,35,24,2,0,1,1
64,28,32,0,0,1,1
65,47,56,3,3,0,0
66,96,74,2,0,1,1
67,26,24,2,2,1,1
68,46,27,1,1,1,1
69,28,65,0,0,1,1
70,26,25,3,0,1,1
71,8,9,0,0,1,1
72,22,32,3,3,0,0
73,50,45,1,1,0,0
74,22,18,2,2,1,1
75,26,20,2,2,1,1
76,15,34,2,2,1,1
77,34,33,3,3,1,1
78,1,29,2,0,0,0
79,58,44,2,2,0,0
80,16,42,1,0,0,0
81,39,33,2,2,1,1
82,26,36,0,0,0,0
83,14,16,0,0,0,0
84,29,25,0,0,1,1
85,28,28,3,3,0,0
86,12,2633,3,0,1,1
87,68,39,0,0,1,1
88,18,20,0,0,0,0
89,26,34,1,1,1,1
90,66,96,0,0,0,0
91,25,35,3,3,0,0
92,46,50,3,3,0,0
93,57,38,0,0,1,1
94,26,34,3,0,1,1
95,26,34,1,1,0,0
96,6,14,0,0,1,1
97,10,58,1,0,1,0
98,34,27,3,3,1,1
99,84,77,0,0,1,1
100,39,32,1,0,1,0
101,40,36,1,1,0,0
102,30,39,1,1,1,1
103,20,29,1,1,1,1
104,22,31,4,0,1,1
105,28,55,1,1,0,1
106,5,1,0,0,1,1
107,24,28,0,0,1,1
108,24,41,3,0,0,0
109,37,38,2,2,1,1
110,40,44,0,0,0,0
111,56,48,0,0,1,1
112,1,0,0,0,0,0
113,90,85,0,0,0,0
114,46,36,1,1,0,0
115,1,13,3,4,1,1
116,27,32,1,1,1,1
117,58,68,0,0,1,0
118,41,47,2,2,0,0
119,31,30,3,3,1,1
120,56,37,0,0,1,1
121,24,-54,4,0,1,1
122,28,34,4,0,0,0
123,60,50,3,0,0,0
124,60,51,0,0,1,0
125,3,3,2,2,1,1
126,29,39,0,0,1,1
127,45,35,1,1,0,0
128,24,25,0,0,1,1
129,38,29,3,0,1,1
130,25,26,3,3,1,1
131,26,37,1,1,1,1
132,2,20,3,2,0,1
133,52,37,3,3,0,0
134,36,36,3,3,1,1
135,30,50,0,0,0,0
136,23,16,1,1,1,1
137,35,31,0,0,1,1
138,37,60,1,0,0,1
139,54,37,3,1,0,0
140,25,21,2,2,1,1
141,36,44,0,0,1,1
142,59,71,0,0,0,0
143,29,40,1,1,0,0
144,18,39,0,0,0,0
145,30,42,2,0,1,1
146,45,41,0,3,0,0
147,27,31,1,1,1,1
148,2,0,2,2,0,1
149,27,42,0,0,1,1
150,34,36,0,0,0,0
151,26,38,2,2,1,1
152,1,-15,2,2,1,0
153,2,15,4,2,1,0
154,1,10,3,4,0,0
155,32,30,1,1,0,0
156,35,38,0,0,1,1
157,5,5,2,2,1,1
158,64,70,2,2,0,0
159,32,42,0,0,1,1
160,19,17,0,4,1,1
161,2,-1,0,0,1,0
162,45,50,3,0,0,0
163,30,42,1,1,0,0
164,30,26,1,1,1,1
165,25,25,3,3,1,1
166,21,28,4,3,1,1
167,1,23,3,2,0,0
168,4,13,2,2,0,0
169,21,27,0,0,1,1
170,45,30,1,1,1,1
171,89,70,0,0,1,1
172,13,18,0,0,0,0
173,21,27,2,2,1,1
174,45,30,3,0,1,1
175,27,-26,2,2,1,1
176,42,35,1,1,0,0
177,25,16,0,4,1,1
178,21,38,4,0,1,1
179,24,36,3,3,1,1
180,17,20,1,0,0,1
181,15,24,0,0,1,1
182,81,96,0,0,0,0
183,21,32,3,3,0,0
184,50,43,1,2,0,0
185,63,93,0,0,0,0
186,65,55,0,0,1,1
187,25,33,0,0,0,0
188,29,30,1,1,1,1
189,30,32,3,0,0,0
190,24,28,0,0,0,1
191,1,0,2,2,0,0
192,35,44,1,1,0,0
193,45,40,2,1,0,0
194,45,44,0,0,1,1
195,7,-88,0,2,0,0
196,1,-3,2,2,0,0
197,4,17,0,0,1,1
198,56,55,0,0,1,1
199,25,57,0,0,0,0
200,36,35,0,0,0,0
201,26,31,0,4,1,1
202,56,35,3,3,1,1
203,22,33,0,0,1,1
204,35,25,1,2,1,1
205,15,15,0,0,0,0
206,58,54,0,0,0,0
207,7,11,1,1,0,0
208,25,27,2,2,1,1
209,110,46,0,0,1,0
210,5,7,0,0,0,0
211,54,25,0,3,0,0
212,21,33,0,3,1,1
213,34,40,1,1,0,0
214,5,3,2,2,0,1
215,55,51,0,0,0,0
216,45,45,0,0,0,0
217,18,24,2,0,1,1
218,14,28,0,0,0,1
219,85,53,0,2,1,1
220,15,25,3,3,1,1
221,26,32,1,0,0,0
222,85,78,0,0,1,1
223,22,20,2,2,1,0
224,28,38,0,0,0,0
225,36,34,0,0,1,1
226,28,26,2,2,1,1
227,25,24,1,0,1,0
228,47,52,3,3,0,0
229,51,49,0,3,0,0
230,3,-1,2,2,1,1
231,34,37,4,2,1,0
232,28,30,0,0,0,0
233,34,30,0,0,1,1
234,31,46,1,1,0,0
235,21,31,1,1,1,1
236,43,39,0,0,1,1
237,30,41,4,3,0,0
238,48,52,0,0,1,1
239,58,60,1,1,0,0
240,52,40,0,0,1,1
241,35,35,0,0,1,1
242,1,4,2,2,0,0
243,66,51,0,0,1,1
244,10,24,0,0,0,1
245,63,62,0,0,0,0
246,35,33,3,3,0,0
247,30,26,4,4,1,1
248,60,66,0,0,0,0
249,7,11,0,0,0,0
250,36,51,1,1,0,0
251,27,32,3,3,0,0
252,28,38,3,0,0,0
253,30,46,2,2,0,0
254,3,5,0,0,0,1
255,24,34,3,0,0,0
256,20,25,1,1,1,1
257,85,86,1,0,0,0
258,29,36,0,0,0,0
259,9,17,0,0,0,0
260,50,41,2,2,0,0
261,25,32,0,0,0,0
262,26,31,3,3,1,1
263,23,44,1,1,0,0
264,28,36,4,1,1,1
265,24,31,0,0,1,1
266,35,24,1,1,0,0
267,45,29,1,1,0,1
268,45,35,0,0,0,0
269,23,26,1,1,1,1
270,31,35,2,2,1,1
271,17,13,2,2,1,1
272,26,33,1,1,1,1
273,2,12,2,2,1,1
274,26,29,1,1,1,1
275,30,35,0,0,1,1
276,39,47,3,3,0,0
277,42,39,0,0,0,0
278,29,28,1,1,0,0
279,86,95,0,0,0,0
280,10,28,0,0,0,1
281,62,57,0,0,1,0
282,2,20,4,2,1,1
283,22,34,0,0,1,1
284,1,27,3,4,0,1
285,54,59,2,0,0,0
286,24,34,2,2,0,1
287,22,33,0,0,0,0
288,41,35,2,2,0,0
289,43,45,0,0,1,1
290,13,38,0,0,0,1
291,17,30,0,0,0,0
292,38,51,0,0,1,1
293,17,24,3,3,0,0
294,2,3,2,2,1,1
295,2,4,0,0,1,0
296,24,27,1,1,0,0
297,24,27,1,1,1,1
298,1,9,3,3,1,1
299,31,32,1,1,0,0
300,22,29,3,3,1,1
301,28,34,4,0,0,0
302,60,31,3,3,0,0
303,55,55,0,0,1,1
304,35,38,3,3,1,1
305,32,30,1,1,1,1
306,35,49,4,0,1,1
307,75,100,0,0,1,1
308,28,37,1,1,0,0
309,45,53,1,1,0,0
310,2,7,0,0,0,1
311,42,38,2,2,1,0
312,26,38,3,3,0,1
313,48,64,0,0,0,0
314,1,0,2,2,0,0
315,32,33,0,0,0,0
316,57,70,0,0,0,0
317,22,33,1,3,1,1
318,30,30,0,0,0,0
319,22,35,3,3,0,0
320,26,34,0,0,0,0
321,47,35,3,3,1,1
322,10,21,4,2,1,1
323,65,50,0,0,1,1
324,42,56,3,0,0,0
325,64,59,0,0,0,0
326,53,49,0,0,0,0
327,34,33,0,3,1,1
328,28,36,0,0,0,0
329,58,62,2,2,0,0
330,35,35,2,0,1,1
331,60,49,0,0,0,0
332,1,14,4,0,1,1
333,10,26,0,0,0,1
334,28,30,1,0,1,1
335,65,50,3,0,0,0
336,43,34,1,1,1,1
337,63,89,3,0,0,0
338,29,29,1,1,1,0
339,1,4,3,3,0,0
340,30,30,0,0,1,1
341,20,28,1,0,1,0
342,18,25,2,2,1,1
343,53,45,1,1,1,1
344,32,27,2,2,1,1
345,65,40,1,1,1,1
346,27,26,2,2,1,0
347,38,43,2,2,0,0
348,1,-8,2,2,0,0
349,65,57,2,2,0,0
350,2,18,0,0,0,0
351,20,13,4,4,1,1
352,26,34,0,3,1,1
353,27,35,0,0,1,1
354,1,14,4,1,1,1
355,32,40,0,0,0,0
356,52,46,1,0,1,1
357,40,44,1,1,0,1
358,77,65,2,0,0,0
359,26,32,1,1,1,1
360,31,34,0,0,0,0
361,51,34,0,0,1,1
362,6,11,4,4,1,0
363,24,34,1,1,0,0
364,27,33,0,0,0,0
365,14,18,4,0,1,1
366,3,12,0,0,1,1
367,58,42,0,0,0,0
368,1,3,0,0,0,0
369,54,55,0,0,0,0
370,26,39,3,0,1,1
371,36,28,0,0,0,0
372,32,28,2,2,1,0
373,82,86,2,0,1,1
374,47,57,0,0,0,0
375,26,42,0,0,0,0
376,5,14,2,2,1,0
377,27,50,3,3,0,0
378,34,38,0,0,1,0
379,40,40,0,0,0,0
380,26,29,4,0,0,0
381,23,41,0,2,1,1
382,35,36,4,3,0,0
383,54,60,0,3,0,1
384,58,53,0,0,0,0
385,4,16,2,3,1,1
386,27,29,3,3,1,1
387,24,33,0,0,0,0
388,35,40,0,0,1,1
389,27,37,1,0,1,1
390,35,35,0,0,1,1
391,31,43,0,0,0,0
392,32,35,1,1,0,0
393,18,41,0,0,1,1
394,35,50,1,1,1,1
395,55,76,3,0,0,0
396,58,73,0,0,0,0
397,14,15,4,0,0,0
398,32,29,0,3,1,1
399,1,-3,3,3,0,0
400,5,15,1,1,0,1
401,1,-108,0,0,0,0
402,30,37,2,2,1,1
403,30,25,2,2,1,1
404,40,43,0,0,0,0
405,8,16,3,0,1,1
406,23,27,0,2,1,1
407,24,22,1,1,1,0
408,33,33,1,1,1,0
409,38,34,1,1,0,0
410,36,28,0,0,0,0
411,23,28,0,0,0,0
412,37,36,0,0,1,1
413,38,31,3,3,0,0
414,36,28,3,3,0,0
415,34,30,1,1,1,1
416,58,50,0,0,0,0
417,48,37,0,0,1,1
418,110,96,0,0,0,0
419,35,42,1,1,0,0
420,36,41,3,3,0,0
421,35,26,3,2,1,1
422,8,11,0,0,1,1
423,39,26,1,1,1,1
424,30,36,2,2,1,1
425,58,83,1,1,0,0
426,2,20,2,0,0,1
427,1,12,3,1,0,1
428,78,72,0,0,1,1
429,76,43,1,1,0,0
430,60,60,0,0,1,0
431,35,36,0,0,0,0
432,28,19,2,2,1,1
433,85,77,0,0,1,1
434,26,35,0,0,1,1
435,35,26,0,0,1,1
436,2,0,2,2,1,1
437,23,26,2,2,1,1
438,35,26,0,0,1,1
439,30,34,1,1,1,1
440,38,33,4,0,0,0
441,27,29,2,2,1,1
442,57,37,0,0,1,1
443,32,34,0,0,1,1
444,78,24,0,1,0,1
445,31,38,2,2,0,0
446,26,31,1,0,0,0
447,26,90,1,1,0,0
448,11,11,0,0,1,1
449,52,38,0,0,0,0
450,64,48,3,0,0,0
451,88,84,0,0,1,0
452,22,17,2,2,1,1
453,1,-54,3,2,1,1
454,26,26,1,1,1,1
455,80,68,3,0,1,1
456,1,6,4,2,0,0
457,31,27,0,0,1,1
458,22,27,3,3,1,1
459,22,28,2,2,1,1
460,50,36,2,2,0,0
461,2,14,0,0,0,0
462,1,-11,4,0,0,1
463,9,11,2,2,0,0
464,55,51,0,0,1,1
465,53,62,1,1,0,0
466,52,47,4,0,1,0
467,75,100,0,0,0,0
468,40,38,0,0,0,0
469,13,25,0,0,1,1
470,25,35,1,1,0,0
471,49,44,0,0,0,0
472,26,33,2,2,1,0
473,43,54,0,0,0,0
474,29,28,1,1,1,1
475,43,52,0,0,0,0
476,50,44,2,2,0,0
477,31,28,1,1,0,0
478,5,14,4,2,0,1
479,29,33,4,1,1,1
480,23,33,2,2,1,1
481,26,30,0,0,1,1
482,21,24,2,2,1,1
483,85,74,2,2,1,1
484,5,10,1,1,0,0
485,45,31,4,4,0,0
486,39,39,3,1,1,1
487,30,44,1,1,0,0
488,40,31,0,3,0,0
489,75,41,2,1,0,0
490,100,85,2,0,1,1
491,29,42,1,1,0,0
492,2,11,4,0,0,0
493,50,51,1,1,0,0
494,38,303,0,0,0,0
495,26,50,0,0,0,0
496,42,36,3,3,0,0
497,28,28,1,1,1,1
498,1,6,1,1,1,0
499,26,29,2,3,1,1
500,69,81,0,0,1,1
501,52,28,0,0,1,1
502,37,35,1,1,1,0
503,24,34,0,0,1,1
504,50,38,1,1,1,1
505,22,31,4,1,0,1
506,8,21,0,0,1,1
507,26,34,3,2,0,0
508,29,22,1,1,1,1
509,53,62,0,0,0,0
510,22,23,4,0,0,0
511,28,32,2,2,1,1
512,30,772,2,0,1,1
513,8,12,4,3,1,0
514,4,10,3,3,0,1
515,33,33,0,0,1,0
516,40,37,4,0,0,0
517,36,37,0,0,1,1
518,26,31,1,1,1,1
519,12,19,0,0,0,1
520,26,32,3,2,1,1
521,23,28,4,0,1,1
522,28,29,3,3,1,1
523,30,41,0,0,0,0
524,25,23,0,0,1,1
525,32,41,0,0,0,0
526,24,22,1,1,1,1
527,48,38,1,1,1,1
528,45,51,0,0,0,0
529,3,-1,1,4,1,0
530,29,32,0,0,1,1
531,45,42,3,0,1,1
532,55,53,3,3,0,0
533,54,52,0,0,0,0
534,40,34,1,1,0,0
535,2,-1,4,4,0,0
536,48,34,0,0,0,0
537,29,17,2,2,1,1
538,26,41,0,0,0,0
539,45,31,1,1,1,0
540,32,32,0,0,1,1
541,62,41,1,1,1,1
542,22,30,0,0,0,0
543,61,59,1,1,0,0
544,75,45,0,0,1,1
545,3,19,2,2,0,0
546,30,28,1,1,0,0
547,26,35,1,1,1,1
548,32,41,0,0,0,0
549,25,31,3,0,0,0
550,34,-46,3,3,1,1
551,37,26,1,1,1,1
552,32,34,0,0,0,0
553,45,46,1,1,0,0
554,39,38,2,2,0,0
555,57,54,1,1,0,1
556,75,48,0,0,0,0
557,30,36,0,0,0,0
558,68,75,0,0,0,0
