,age_true,age_pred,race_true,race_pred,gender_true,gender_pred
0,42,60,0,0,0,0
1,30,29,0,0,1,1
2,27,37,1,1,1,1
3,30,42,3,3,0,0
4,14,34,2,4,0,1
5,25,30,2,2,0,0
6,36,39,4,0,1,1
7,16,19,0,0,0,1
8,56,65,1,3,0,0
9,50,41,3,3,1,1
10,40,32,2,2,1,1
11,26,45,2,2,0,0
12,31,32,0,0,0,1
13,30,44,1,1,0,0
14,53,45,0,0,0,0
15,28,39,1,1,0,0
16,30,35,1,1,0,0
17,61,54,3,3,0,0
18,32,38,1,1,0,0
19,28,37,3,0,1,1
20,50,39,0,0,1,1
21,85,88,1,1,1,0
22,28,30,0,0,1,1
23,45,34,0,0,0,0
24,11,35,0,0,0,1
25,36,45,0,0,0,0
26,2,-2,2,2,0,0
27,40,51,0,0,0,1
28,1,6,0,0,1,1
29,35,44,0,0,0,0
30,24,32,2,2,1,1
31,38,34,0,0,1,1
32,43,38,0,0,0,0
33,34,38,3,3,0,0
34,1,3,4,0,0,1
35,29,37,2,2,0,0
36,54,54,0,0,0,0
37,32,39,4,0,1,1
38,42,31,0,0,1,1
39,60,63,1,2,0,0
40,29,36,1,1,1,1
41,3,2,2,2,1,0
42,26,32,0,0,1,1
43,84,121,0,0,1,1
44,26,34,3,0,1,1
45,32,44,0,0,1,1
46,44,48,3,3,0,0
47,8,25,0,0,0,1
48,34,51,0,0,0,0
49,26,29,3,3,1,1
50,26,29,2,2,1,1
51,28,37,4,0,0,1
52,1,8,2,0,1,1
53,75,61,0,0,0,0
54,60,55,0,0,0,0
55,28,38,1,1,0,0
56,23,32,0,3,1,1
57,45,40,0,0,0,0
58,25,36,0,0,1,1
59,63,36,0,0,1,1
60,26,28,0,4,1,1
61,57,51,0,0,0,0
62,29,35,0,4,0,0
63,32,34,1,1,1,1
64,40,68,1,1,0,0
65,23,26,2,2,1,1
66,18,18,0,0,1,1
67,35,28,2,2,1,1
68,38,44,0,0,0,0
69,78,43,1,0,1,1
70,34,42,0,0,1,1
71,26,35,0,0,0,0
72,23,31,2,2,1,0
73,40,54,0,0,0,1
74,55,46,0,0,0,0
75,36,40,3,3,1,1
76,24,33,0,0,1,1
77,26,27,1,1,1,1
78,31,41,1,1,0,0
79,18,36,0,0,1,1
80,16,21,0,0,1,1
81,24,37,2,2,1,1
82,49,51,3,0,0,0
83,37,44,0,0,0,0
84,5,11,2,2,0,1
85,21,29,3,3,1,1
86,45,33,3,0,1,1
87,25,32,0,0,0,0
88,32,30,4,0,0,0
89,28,59,1,2,0,0
90,4,3,2,2,1,1
91,34,28,0,3,0,0
92,52,42,0,0,0,0
93,88,94,2,1,0,0
94,24,30,2,2,1,1
95,43,28,3,3,1,1
96,32,43,1,1,0,0
97,37,42,2,2,0,0
98,25,29,3,3,0,0
99,28,29,2,0,1,1
100,24,35,2,3,0,0
101,2,11,2,2,1,0
102,90,76,0,0,0,0
103,26,33,3,3,1,1
104,64,66,2,2,0,0
105,30,37,3,3,0,0
106,8,22,0,0,1,1
107,85,67,0,0,1,1
108,28,35,4,0,1,1
109,36,41,0,0,0,0
110,39,51,3,3,0,0
111,30,41,1,1,0,0
112,5,-2,2,2,0,0
113,23,37,2,2,1,1
114,35,43,1,1,0,0
115,12,27,3,3,1,1
116,26,32,0,0,1,1
117,65,67,0,0,1,0
118,32,44,0,0,0,0
119,43,36,3,3,1,1
