,age_true,age_pred,race_true,race_pred,gender_true,gender_pred
0,42,69,0,0,0,0
1,30,44,0,0,1,1
2,27,41,1,1,1,1
3,30,49,3,3,0,0
4,14,39,2,3,0,1
5,25,37,2,2,0,0
6,36,49,4,0,1,1
7,16,30,0,0,0,1
8,56,58,1,3,0,0
9,50,51,3,3,1,1
10,40,49,2,2,1,1
11,26,51,2,2,0,0
12,31,41,0,0,0,1
13,30,42,1,1,0,0
14,53,54,0,0,0,0
15,28,77,1,1,0,0
16,30,36,1,1,0,0
17,61,62,3,3,0,0
18,32,42,1,1,0,0
19,28,51,3,3,1,1
20,50,56,0,0,1,1
21,85,88,1,1,1,0
22,28,49,0,0,1,1
23,45,47,0,0,0,0
24,11,41,0,0,0,0
25,36,53,0,0,0,0
26,2,22,2,2,0,0
27,40,92,0,0,0,0
28,1,9,0,0,1,1
29,35,45,0,0,0,0
30,24,39,2,2,1,1
31,38,52,0,0,1,0
32,43,47,0,0,0,0
33,34,44,3,3,0,0
34,1,14,4,4,0,1
35,29,49,2,2,0,0
36,54,82,0,0,0,0
37,32,47,4,4,1,1
38,42,44,0,0,1,1
39,60,58,1,1,0,0
40,29,38,1,1,1,1
41,3,3,2,2,1,1
42,26,33,0,0,1,1
43,84,111,0,0,1,1
44,26,40,3,0,1,1
45,32,49,0,0,1,1
46,44,50,3,3,0,0
47,8,34,0,0,0,1
48,34,65,0,0,0,0
49,26,39,3,3,1,1
50,26,39,2,3,1,1
51,28,44,4,2,0,1
52,1,19,2,0,1,1
53,75,71,0,0,0,0
54,60,59,0,0,0,0
55,28,39,1,1,0,0
56,23,39,0,4,1,1
57,45,38,0,0,0,0
58,25,75,0,0,1,1
59,63,47,0,0,1,1
60,26,34,0,4,1,1
61,57,62,0,0,0,0
62,29,44,0,0,0,0
63,32,40,1,1,1,1
64,40,54,1,1,0,0
65,23,35,2,2,1,1
66,18,36,0,0,1,1
67,35,31,2,2,1,1
68,38,46,0,0,0,0
69,78,49,1,0,1,1
70,34,55,0,0,1,1
71,26,35,0,2,0,0
72,23,30,2,2,1,1
73,40,63,0,0,0,0
74,55,54,0,0,0,0
75,36,42,3,3,1,1
76,24,35,0,0,1,1
77,26,33,1,1,1,1
78,31,46,1,1,0,0
79,18,53,0,0,1,1
80,16,27,0,0,1,1
81,24,58,2,0,1,1
82,49,52,3,0,0,0
83,37,51,0,0,0,0
84,5,16,2,2,0,1
85,21,35,3,0,1,1
86,45,45,3,0,1,1
87,25,42,0,0,0,0
88,32,35,4,0,0,0
89,28,53,1,1,0,0
90,4,14,2,2,1,1
91,34,42,0,3,0,0
92,52,52,0,0,0,0
93,88,51,2,1,0,0
94,24,40,2,2,1,1
95,43,35,3,2,1,1
96,32,43,1,1,0,0
97,37,47,2,2,0,0
98,25,35,3,3,0,0
99,28,44,2,2,1,1
100,24,46,2,3,0,0
101,2,23,2,2,1,0
102,90,84,0,0,0,0
103,26,38,3,3,1,1
104,64,81,2,2,0,0
105,30,41,3,3,0,0
106,8,31,0,0,1,1
107,85,87,0,0,1,1
108,28,46,4,0,1,1
109,36,40,0,0,0,0
110,39,42,3,3,0,0
111,30,41,1,1,0,0
112,5,13,2,2,0,0
113,23,41,2,2,1,1
114,35,42,1,1,0,0
115,12,38,3,3,1,1
116,26,40,0,2,1,1
117,65,58,0,0,1,0
118,32,55,0,0,0,0
119,43,45,3,3,1,1
120,45,43,3,3,0,0
121,21,35,3,2,1,1
122,40,34,1,0,0,0
123,2,18,0,0,0,0
124,26,34,3,3,0,0
125,53,52,0,0,0,0
126,54,63,1,0,0,0
127,19,35,2,2,0,0
128,26,37,1,1,1,1
129,26,32,2,2,1,1
130,81,80,0,0,1,0
131,35,39,0,3,0,0
132,26,40,3,2,1,1
133,53,119,0,0,1,1
134,53,67,0,0,0,0
135,9,31,0,0,0,1
136,29,54,1,0,0,0
137,26,37,3,3,1,1
138,60,61,1,0,0,0
139,58,92,1,1,0,0
140,25,38,0,0,1,1
141,38,45,4,0,1,1
142,26,45,1,1,1,1
143,42,54,1,1,0,0
144,32,42,3,3,0,0
145,84,88,1,0,0,0
146,35,43,0,0,1,1
