,age_true,age_pred,race_true,race_pred,gender_true,gender_pred
0,3,27,0,0,1,1
1,9,9,0,0,0,0
2,55,-34,3,3,1,0
3,40,48,0,0,0,0
4,29,28,0,0,1,1
5,27,28,0,3,0,0
6,24,34,1,0,0,0
7,24,27,1,1,1,1
8,26,23,2,2,1,1
9,27,32,1,0,0,0
10,67,69,0,0,0,0
11,20,29,0,0,0,0
12,32,32,1,1,1,1
13,6,10,2,2,0,0
14,35,28,2,2,0,0
15,25,22,2,2,1,0
16,15,31,0,0,0,0
17,4,3,3,3,1,1
18,1,-12,2,2,0,0
19,58,15,1,0,1,1
20,1,-6,0,0,1,0
21,26,35,1,1,0,0
22,39,31,0,0,0,0
23,42,43,0,0,0,0
24,90,125,0,0,1,1
25,29,21,4,0,0,0
26,20,21,1,1,1,1
27,34,31,1,1,1,0
28,62,37,0,0,1,1
29,8,10,4,0,0,0
30,36,24,1,1,1,1
31,1,3,2,2,1,0
32,39,38,3,0,1,1
33,28,25,0,0,0,0
34,52,28,0,0,1,1
35,25,23,3,3,1,1
36,36,44,0,0,1,1
37,29,26,1,3,1,1
38,26,20,1,1,1,1
39,30,38,0,0,0,0
40,1,8,3,3,0,1
41,38,37,1,1,0,0
42,41,36,2,2,0,0
43,51,41,0,0,1,1
44,16,19,0,0,1,1
45,40,51,0,0,1,1
46,26,21,1,1,0,0
47,53,79,0,0,0,0
48,2,9,3,3,0,0
49,75,84,1,1,0,0
50,48,28,0,1,0,0
51,25,29,1,1,0,0
52,56,74,0,0,0,0
53,29,32,2,2,0,0
54,38,30,4,0,0,0
55,35,30,1,1,0,0
56,44,23,3,3,0,0
57,29,27,1,1,1,1
58,53,41,0,0,0,0
59,16,13,0,0,1,1
60,11,0,3,3,1,1
61,53,49,0,0,0,0
62,9,8,0,0,0,0
63,26,41,1,1,1,1
64,36,25,0,0,1,1
65,35,37,0,0,0,0
66,50,41,1,1,0,0
67,43,35,3,3,0,0
68,51,63,0,0,1,1
69,56,46,0,0,1,1
70,33,22,3,3,0,0
71,25,22,3,3,1,1
72,75,70,1,1,0,0
73,2,6,0,0,1,0
74,37,30,0,0,1,0
75,34,22,1,1,1,1
76,26,32,3,3,1,1
77,21,16,4,3,1,1
78,28,29,2,2,1,1
79,40,24,3,3,0,0
80,58,49,2,2,0,0
81,43,45,3,3,0,0
82,35,26,0,0,1,1
83,59,49,0,0,0,0
84,60,38,0,0,1,1
85,26,31,0,3,1,1
86,24,29,1,1,0,0
87,16,23,0,0,1,1
88,32,42,0,0,1,1
89,44,37,1,1,0,0
90,41,40,0,0,0,0
91,15,23,0,0,0,0
92,32,32,2,2,0,0
93,26,18,0,0,1,1
94,26,50,1,2,0,0
95,26,20,2,2,1,1
96,31,36,4,1,0,0
97,27,12,2,2,1,1
98,3,0,2,2,1,0
99,28,27,3,3,1,0
100,75,83,0,0,1,1
101,9,34,2,2,0,0
102,28,29,0,2,1,0
103,26,19,1,1,1,0
104,22,24,1,1,1,1
105,27,20,0,0,0,0
106,46,37,0,0,0,0
107,11,4,0,0,1,1
108,54,43,3,3,0,0
