,age_true,age_pred,race_true,race_pred,gender_true,gender_pred
0,45,35,1,1,0,0
1,65,50,0,0,0,0
2,35,36,0,0,1,1
3,8,25,4,3,1,1
4,61,57,3,1,0,0
5,26,31,0,0,1,1
6,25,30,3,3,1,1
7,23,23,0,0,1,1
8,1,15,2,2,0,1
9,5,14,0,0,0,1
10,53,41,0,0,0,0
11,25,48,1,1,0,0
12,27,36,1,2,0,0
13,13,21,0,0,1,1
14,5,3,3,3,1,0
15,38,42,0,0,0,0
16,60,80,0,0,1,0
17,60,51,1,1,0,0
18,53,54,0,0,1,1
19,24,28,2,0,0,0
20,25,36,1,1,0,0
21,30,25,3,3,1,1
22,20,30,0,0,1,1
23,54,48,3,3,0,0
24,80,100,0,0,0,0
25,15,25,4,4,1,1
26,18,40,0,0,1,1
27,1,8,4,0,0,0
28,24,35,4,4,1,1
29,18,27,0,4,1,1
30,45,28,2,0,0,0
31,85,57,0,0,1,1
32,67,57,0,0,0,0
33,24,22,0,0,1,1
34,24,32,2,2,1,1
35,36,76,1,1,1,1
36,65,49,3,3,0,0
37,23,29,4,4,1,1
38,51,53,0,0,0,0
39,65,79,1,0,0,0
40,23,31,1,1,0,1
41,58,96,1,1,0,0
42,32,36,4,0,0,0
43,58,46,0,0,0,0
44,27,38,3,4,0,1
45,46,38,0,0,0,0
46,32,66,0,0,0,0
47,36,30,3,3,0,0
48,11,22,0,0,1,0
49,25,20,3,3,0,0
50,3,22,0,0,1,0
51,60,53,1,0,1,1
52,35,33,3,3,1,1
53,4,13,4,0,1,1
54,40,38,0,0,0,0
55,24,37,4,4,1,1
56,15,27,0,0,1,1
57,40,35,0,4,1,1
58,26,37,0,0,0,0
59,45,45,0,0,1,1
60,26,41,1,1,0,0
61,32,30,3,4,0,0
62,65,75,0,0,1,1
63,26,20,0,0,1,1
64,21,32,1,1,1,1
65,29,217,2,2,1,1
66,66,30,1,1,1,0
67,32,30,1,0,0,0
68,45,33,0,0,0,0
69,3,5,2,2,0,1
70,20,22,3,0,1,1
71,2,2,0,0,0,1
72,29,54,1,1,0,0
73,1,18,3,1,0,1
74,18,28,0,0,1,1
75,20,43,0,0,1,1
76,1,5,0,0,1,1
77,2,16,2,2,0,1
78,35,33,3,0,0,0
79,60,30,0,1,0,1
80,60,75,3,0,0,0
81,45,25,1,1,1,1
82,50,42,3,3,0,0
83,50,35,2,2,0,0
84,23,79,1,1,0,0
85,16,29,0,0,0,1
86,24,24,2,4,1,1
87,70,80,0,0,0,0
88,45,31,3,3,0,0
89,39,58,2,2,0,0
90,45,37,0,0,0,0
91,26,27,2,2,1,1
92,17,36,0,0,0,0
93,28,294,0,0,0,0
94,2,-3,2,0,1,1
95,41,47,0,0,0,0
96,24,31,3,0,1,1
97,16,32,0,0,0,0
98,26,41,1,1,0,0
99,1,12,0,0,1,1
100,36,40,3,3,0,0
101,11,23,0,0,0,0
102,27,27,1,1,1,1
103,28,31,4,4,0,0
104,26,29,2,2,1,1
105,9,2,0,0,0,0
106,16,28,0,0,0,0
107,58,48,0,0,0,0
108,24,29,3,3,1,1
109,62,53,0,0,0,0
110,54,48,0,0,1,1
111,18,25,3,3,0,0
112,1,-2,2,2,0,1
113,54,51,0,0,0,0
114,45,54,0,0,0,0
115,74,69,0,2,0,0
116,1,-4,2,2,0,0
117,36,33,1,1,1,1
118,18,29,0,0,1,1
119,28,31,0,0,0,0
120,28,34,2,0,1,0
121,20,29,3,3,1,1
122,50,46,0,0,1,1
123,56,53,0,0,0,0
124,59,65,0,0,0,0
125,24,29,0,0,1,1
126,26,18,2,0,1,1
127,54,55,3,0,0,0
128,32,33,1,1,0,0
129,5,20,1,1,1,1
130,6,21,0,4,1,0
131,40,37,0,0,0,0
