,age_true,age_pred,race_true,race_pred,gender_true,gender_pred
0,28,41,0,0,0,0
1,15,36,1,1,1,0
2,24,38,0,0,1,1
3,29,33,0,0,1,1
4,20,31,3,3,0,0
5,25,42,0,0,1,1
6,24,32,4,0,1,1
7,24,38,1,1,1,1
8,2,15,3,3,1,1
9,56,57,0,0,1,1
10,58,65,0,0,0,0
11,26,50,1,1,0,0
12,32,45,0,0,0,0
13,24,34,0,0,1,1
14,26,45,3,3,1,1
15,72,78,0,0,0,0
16,21,41,1,1,1,1
17,54,63,2,2,0,0
18,21,25,1,3,0,0
19,31,34,1,1,1,1
20,54,67,0,0,0,0
21,23,26,1,1,0,0
22,46,39,1,1,0,0
23,32,31,3,3,0,0
24,40,41,4,4,1,1
25,20,34,0,0,1,1
26,60,40,3,1,0,0
27,30,61,2,2,0,0
28,34,33,0,0,0,0
29,32,41,0,0,1,1
30,26,46,2,0,0,0
31,25,23,3,3,0,0
32,40,57,4,0,0,0
33,41,55,3,1,0,0
34,35,36,0,0,0,0
35,62,50,1,1,0,1
36,1,7,3,3,0,1
37,54,54,0,0,1,1
38,25,48,0,0,1,1
39,50,107,0,0,0,0
40,48,43,3,3,1,1
41,26,32,3,1,1,1
42,67,80,3,3,0,0
43,39,32,1,1,0,0
44,8,25,0,0,1,1
45,15,21,4,0,1,1
46,42,46,0,0,1,1
47,65,77,0,0,1,1
48,61,43,1,1,0,0
49,30,57,0,0,0,0
50,15,35,4,0,0,0
51,29,46,0,0,0,0
52,28,35,1,1,1,1
53,26,31,4,2,1,1
54,35,40,0,0,0,0
55,31,35,4,3,0,0
56,10,19,0,0,1,1
57,45,59,0,0,0,0
58,39,49,0,0,0,0
59,45,52,0,0,0,0
60,73,121,0,0,1,1
61,76,51,0,0,1,1
62,26,35,3,2,1,1
63,29,25,2,0,0,0
64,31,65,0,0,0,0
65,21,28,1,1,1,1
66,30,38,2,2,0,0
67,85,149,0,0,1,1
68,72,104,0,0,0,0
69,40,49,2,2,0,0
70,29,35,1,1,0,0
71,28,56,1,1,0,0
72,22,38,1,1,0,0
73,24,26,3,0,1,1
74,52,54,0,0,1,1
75,26,38,3,2,1,1
76,38,38,0,0,0,0
77,37,42,3,3,1,1
78,45,47,0,0,1,1
79,26,37,1,1,0,0
80,31,35,2,2,0,0
81,59,77,0,0,0,0
82,38,36,0,0,1,1
83,55,71,0,0,1,1
84,27,40,1,0,1,1
85,58,74,0,0,0,0
86,50,47,0,0,0,0
87,89,153,1,0,0,1
88,55,61,0,0,1,1
89,40,48,0,0,1,1
90,5,28,0,0,0,0
91,26,38,1,0,0,0
92,38,30,0,0,1,1
93,8,29,0,0,1,1
94,49,48,3,3,0,0
95,40,45,1,1,1,1
96,15,57,0,0,0,0
97,88,109,0,0,0,0
98,27,30,1,1,1,1
99,68,57,2,2,0,0
100,6,23,3,3,1,1
101,54,46,0,0,0,0
102,1,6,0,2,1,1
103,28,33,1,1,0,0
104,54,42,0,0,0,0
105,78,100,0,0,1,1
106,34,83,1,1,0,0
107,50,64,3,3,0,0
108,21,30,1,1,1,1
109,20,44,0,0,1,0
110,61,71,1,1,0,0
111,28,40,0,0,0,0
112,24,37,0,0,1,1
113,85,107,0,0,0,0
114,20,22,3,0,1,1
115,33,35,1,1,1,1
116,35,47,1,1,0,1
117,85,111,0,0,1,1
118,51,71,0,0,0,0
119,23,30,0,4,1,1
120,17,34,1,1,0,0
121,35,43,1,1,0,0
122,8,17,4,3,1,0
123,18,35,0,0,1,1
124,26,53,1,1,1,1
125,27,43,1,1,0,0
126,27,42,1,1,0,0
127,67,86,3,3,0,0
128,29,40,3,0,0,0
129,46,56,0,0,1,1
130,28,51,0,0,0,0
131,35,80,0,0,0,0
132,19,30,1,3,1,1
133,55,51,3,3,0,0
134,28,34,3,3,0,0
135,26,33,0,0,1,1
136,19,29,3,3,1,1
137,57,55,3,0,0,0
138,26,36,3,3,0,0
139,5,20,4,1,1,1
140,37,37,3,3,0,0
141,30,51,3,3,0,0
142,27,37,3,3,1,1
143,4,11,0,0,1,1
144,75,73,2,1,0,0
145,5,13,3,2,0,1
146,3,3,2,0,1,0
147,29,32,0,0,1,1
148,38,51,3,3,0,0
149,38,40,4,0,0,0
150,1,2,2,1,1,1
151,62,84,0,0,1,1
152,65,118,0,0,0,0
153,33,49,0,0,0,0
154,26,29,3,1,0,0
155,35,36,4,3,0,0
156,52,43,0,0,1,1
157,43,53,1,1,0,0
158,73,62,0,0,0,0
159,34,37,3,3,0,0
160,80,102,0,0,1,1
161,54,50,1,1,0,0
162,65,47,3,3,0,0
163,26,34,3,0,1,1
