,age_true,race_true,race_pred,gender_true,gender_pred
0,30,0,0,0,1
1,26,4,1,1,1
2,24,2,0,1,1
3,23,3,0,0,0
4,42,0,0,1,1
5,50,1,3,0,0
6,37,0,0,0,1
7,83,0,0,1,0
8,57,0,0,1,1
9,22,4,2,0,0
10,44,3,3,0,0
11,30,0,0,0,0
12,45,3,3,0,0
13,36,1,1,1,1
14,34,3,3,0,0
15,60,0,0,1,1
16,22,4,2,0,0
17,26,3,3,0,0
18,24,0,1,1,1
19,51,4,0,0,0
20,39,2,2,1,1
21,23,2,2,1,1
22,92,0,0,1,1
23,60,3,3,0,0
24,16,0,0,1,1
25,37,3,3,0,0
26,26,0,0,0,0
27,26,2,0,1,1
28,1,0,3,0,1
29,38,0,0,0,0
30,17,3,3,1,1
31,8,0,2,1,1
32,25,1,1,0,0
33,26,4,0,0,0
34,52,2,2,0,0
35,31,1,1,1,1
36,10,0,0,0,0
37,27,1,1,1,1
38,26,0,0,0,0
39,26,0,0,1,1
40,26,4,0,0,0
41,20,3,3,0,0
42,51,1,1,0,0
43,63,0,0,0,0
44,18,0,0,1,1
45,90,2,0,1,1
46,30,2,2,1,1
47,1,0,0,0,0
48,26,1,1,1,0
49,58,0,0,0,0
50,8,0,0,0,1
51,36,2,0,0,0
52,28,1,1,0,0
53,61,0,0,1,1
54,31,1,1,0,0
55,16,3,3,1,0
56,96,0,0,1,1
57,42,1,1,0,0
58,24,0,0,1,1
59,25,0,0,1,1
60,24,2,2,0,0
61,50,1,1,0,0
62,6,0,0,1,1
63,35,2,0,1,1
64,28,0,0,1,1
65,47,3,3,0,0
66,96,2,0,1,1
67,26,2,2,1,1
68,46,1,1,1,1
69,28,0,0,1,1
70,26,3,0,1,1
71,8,0,0,1,1
72,22,3,3,0,0
73,50,1,1,0,0
74,22,2,2,1,1
75,26,2,2,1,1
76,15,2,2,1,1
77,34,3,3,1,1
78,1,2,0,0,0
79,58,2,2,0,0
80,16,1,0,0,0
81,39,2,2,1,1
82,26,0,0,0,0
83,14,0,0,0,0
84,29,0,0,1,1
85,28,3,3,0,0
86,12,3,0,1,1
87,68,0,0,1,1
88,18,0,0,0,0
89,26,1,1,1,1
90,66,0,0,0,0
91,25,3,3,0,0
92,46,3,3,0,0
93,57,0,0,1,1
94,26,3,0,1,1
95,26,1,1,0,0
96,6,0,0,1,1
97,10,1,0,1,0
98,34,3,3,1,1
99,84,0,0,1,1
100,39,1,0,1,0
101,40,1,1,0,0
102,30,1,1,1,1
103,20,1,1,1,1
104,22,4,0,1,1
105,28,1,1,0,1
106,5,0,0,1,1
107,24,0,0,1,1
108,24,3,0,0,0
109,37,2,2,1,1
110,40,0,0,0,0
111,56,0,0,1,1
112,1,0,0,0,0
113,90,0,0,0,0
114,46,1,1,0,0
115,1,3,4,1,1
116,27,1,1,1,1
117,58,0,0,1,0
118,41,2,2,0,0
119,31,3,3,1,1
120,56,0,0,1,1
121,24,4,0,1,1
122,28,4,0,0,0
123,60,3,0,0,0
124,60,0,0,1,0
125,3,2,2,1,1
126,29,0,0,1,1
127,45,1,1,0,0
128,24,0,0,1,1
129,38,3,0,1,1
130,25,3,3,1,1
131,26,1,1,1,1
132,2,3,2,0,1
133,52,3,3,0,0
134,36,3,3,1,1
135,30,0,0,0,0
136,23,1,1,1,1
137,35,0,0,1,1
138,37,1,0,0,1
139,54,3,1,0,0
140,25,2,2,1,1
141,36,0,0,1,1
142,59,0,0,0,0
143,29,1,1,0,0
144,18,0,0,0,0
145,30,2,0,1,1
146,45,0,3,0,0
147,27,1,1,1,1
148,2,2,2,0,1
149,27,0,0,1,1
150,34,0,0,0,0
151,26,2,2,1,1
152,1,2,2,1,0
153,2,4,2,1,0
154,1,3,4,0,0
155,32,1,1,0,0
156,35,0,0,1,1
157,5,2,2,1,1
158,64,2,2,0,0
159,32,0,0,1,1
160,19,0,4,1,1
161,2,0,0,1,0
162,45,3,0,0,0
163,30,1,1,0,0
164,30,1,1,1,1
165,25,3,3,1,1
166,21,4,3,1,1
167,1,3,2,0,0
168,4,2,2,0,0
169,21,0,0,1,1
170,45,1,1,1,1
171,89,0,0,1,1
172,13,0,0,0,0
173,21,2,2,1,1
174,45,3,0,1,1
175,27,2,2,1,1
176,42,1,1,0,0
177,25,0,4,1,1
178,21,4,0,1,1
179,24,3,3,1,1
180,17,1,0,0,1
181,15,0,0,1,1
182,81,0,0,0,0
183,21,3,3,0,0
184,50,1,2,0,0
185,63,0,0,0,0
186,65,0,0,1,1
187,25,0,0,0,0
188,29,1,1,1,1
189,30,3,0,0,0
190,24,0,0,0,1
191,1,2,2,0,0
192,35,1,1,0,0
193,45,2,1,0,0
194,45,0,0,1,1
195,7,0,2,0,0
196,1,2,2,0,0
197,4,0,0,1,1
198,56,0,0,1,1
199,25,0,0,0,0
200,36,0,0,0,0
201,26,0,4,1,1
202,56,3,3,1,1
203,22,0,0,1,1
204,35,1,2,1,1
205,15,0,0,0,0
206,58,0,0,0,0
207,7,1,1,0,0
208,25,2,2,1,1
209,110,0,0,1,0
210,5,0,0,0,0
211,54,0,3,0,0
212,21,0,3,1,1
213,34,1,1,0,0
214,5,2,2,0,1
215,55,0,0,0,0
216,45,0,0,0,0
217,18,2,0,1,1
218,14,0,0,0,1
219,85,0,2,1,1
220,15,3,3,1,1
221,26,1,0,0,0
222,85,0,0,1,1
223,22,2,2,1,0
224,28,0,0,0,0
225,36,0,0,1,1
226,28,2,2,1,1
227,25,1,0,1,0
228,47,3,3,0,0
229,51,0,3,0,0
230,3,2,2,1,1
231,34,4,2,1,0
232,28,0,0,0,0
233,34,0,0,1,1
234,31,1,1,0,0
235,21,1,1,1,1
236,43,0,0,1,1
237,30,4,3,0,0
238,48,0,0,1,1
239,58,1,1,0,0
240,52,0,0,1,1
241,35,0,0,1,1
242,1,2,2,0,0
243,66,0,0,1,1
244,10,0,0,0,1
245,63,0,0,0,0
246,35,3,3,0,0
247,30,4,4,1,1
248,60,0,0,0,0
249,7,0,0,0,0
250,36,1,1,0,0
251,27,3,3,0,0
252,28,3,0,0,0
253,30,2,2,0,0
254,3,0,0,0,1
255,24,3,0,0,0
256,20,1,1,1,1
257,85,1,0,0,0
258,29,0,0,0,0
259,9,0,0,0,0
260,50,2,2,0,0
261,25,0,0,0,0
262,26,3,3,1,1
263,23,1,1,0,0
264,28,4,1,1,1
265,24,0,0,1,1
266,35,1,1,0,0
267,45,1,1,0,1
268,45,0,0,0,0
269,23,1,1,1,1
270,31,2,2,1,1
271,17,2,2,1,1
272,26,1,1,1,1
273,2,2,2,1,1
274,26,1,1,1,1
275,30,0,0,1,1
276,39,3,3,0,0
277,42,0,0,0,0
278,29,1,1,0,0
279,86,0,0,0,0
280,10,0,0,0,1
281,62,0,0,1,0
282,2,4,2,1,1
283,22,0,0,1,1
284,1,3,4,0,1
285,54,2,0,0,0
286,24,2,2,0,1
287,22,0,0,0,0
288,41,2,2,0,0
289,43,0,0,1,1
290,13,0,0,0,1
291,17,0,0,0,0
292,38,0,0,1,1
293,17,3,3,0,0
294,2,2,2,1,1
295,2,0,0,1,0
296,24,1,1,0,0
297,24,1,1,1,1
298,1,3,3,1,1
299,31,1,1,0,0
300,22,3,3,1,1
301,28,4,0,0,0
302,60,3,3,0,0
303,55,0,0,1,1
304,35,3,3,1,1
305,32,1,1,1,1
306,35,4,0,1,1
307,75,0,0,1,1
308,28,1,1,0,0
309,45,1,1,0,0
310,2,0,0,0,1
311,42,2,2,1,0
312,26,3,3,0,1
313,48,0,0,0,0
314,1,2,2,0,0
315,32,0,0,0,0
316,57,0,0,0,0
317,22,1,3,1,1
318,30,0,0,0,0
319,22,3,3,0,0
320,26,0,0,0,0
321,47,3,3,1,1
322,10,4,2,1,1
323,65,0,0,1,1
324,42,3,0,0,0
325,64,0,0,0,0
326,53,0,0,0,0
327,34,0,3,1,1
328,28,0,0,0,0
329,58,2,2,0,0
330,35,2,0,1,1
331,60,0,0,0,0
332,1,4,0,1,1
333,10,0,0,0,1
334,28,1,0,1,1
335,65,3,0,0,0
336,43,1,1,1,1
337,63,3,0,0,0
338,29,1,1,1,0
339,1,3,3,0,0
