,disparate_impact,mean_difference,base_rate,base_rate_rest
male,0.9590839092968269,-0.037578745987915774,0.8808556728946656,0.9184344188825814
female,1.0426616381596596,0.037578745987915774,0.9184344188825814,0.8808556728946656
age_0,0.6995909434402442,-0.28172948962539524,0.6560900716479018,0.937819561273297
age_1,0.9680462165761027,-0.02878182874681523,0.8719512195121951,0.9007330482590103
age_2,1.0912224298300248,0.07957989843740532,0.9519519519519519,0.8723720535145466
age_3,1.0799858092507402,0.07088868119533975,0.9571544058205336,0.8862657246251938
age_4,1.0653994471628643,0.058083615310704384,0.946219797349961,0.8881361820392566
age_5,1.017819283190308,0.015991664401558414,0.9134275618374559,0.8974358974358975
age_6,0.8865017960762641,-0.10225716775237548,0.7987012987012987,0.9009584664536742
race_0,1.0026895850613955,0.0024143997339787227,0.900099239166391,0.8976848394324123
race_1,1.0439542717064247,0.03916617395874389,0.9302325581395349,0.891066384180791
race_2,0.9151700864978085,-0.0771833924145936,0.8326771653543307,0.9098605577689243
race_3,1.017099254375146,0.015324144577862242,0.9115120274914089,0.8961878829135467
race_4,1.0121211431391237,0.01088489339807619,0.9088937093275488,0.8980088159294726
